 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  3.09230E+01,  0.00000E+00,  0.00000E+00,  1.11132E+01,  5.00000E-01, Tue Mar 24 19:57:45 2020
   2,  3.01263E+01, -2.57628E+00, -2.57628E+00,  1.18343E+01,  5.00000E-01, Tue Mar 24 19:58:16 2020
   3,  1.19558E+01, -6.13369E+01, -5.87607E+01,  2.84459E+00,  5.00000E-01, Tue Mar 24 19:58:46 2020
   4,  4.62688E+00, -8.50374E+01, -2.37005E+01,  1.07239E+00,  5.00000E-01, Tue Mar 24 19:59:17 2020
   5,  1.66798E+00, -9.46060E+01, -9.56860E+00,  2.22941E-01,  5.00000E-01, Tue Mar 24 19:59:48 2020
   6,  7.99279E-01, -9.74153E+01, -2.80923E+00,  1.11078E-01,  5.00000E-01, Tue Mar 24 20:00:19 2020
   7,  5.90194E-01, -9.80914E+01, -6.76147E-01,  6.94340E-02,  5.00000E-01, Tue Mar 24 20:00:50 2020
   8,  4.81516E-01, -9.84429E+01, -3.51446E-01,  5.84467E-02,  5.00000E-01, Tue Mar 24 20:01:21 2020
   9,  3.44229E-01, -9.88868E+01, -4.43966E-01,  3.33009E-02,  5.00000E-01, Tue Mar 24 20:01:52 2020
  10,  2.79636E-01, -9.90957E+01, -2.08884E-01,  3.18081E-02,  5.00000E-01, Tue Mar 24 20:02:22 2020
  11,  2.20084E-01, -9.92883E+01, -1.92579E-01,  2.50691E-02,  5.00000E-01, Tue Mar 24 20:02:53 2020
  12,  1.96733E-01, -9.93638E+01, -7.55144E-02,  2.55815E-02,  5.00000E-01, Tue Mar 24 20:03:24 2020
  13,  1.65508E-01, -9.94648E+01, -1.00976E-01,  1.92193E-02,  5.00000E-01, Tue Mar 24 20:03:55 2020
  14,  1.47634E-01, -9.95226E+01, -5.78044E-02,  1.54497E-02,  5.00000E-01, Tue Mar 24 20:04:25 2020
  15,  1.30991E-01, -9.95764E+01, -5.38185E-02,  1.37269E-02,  5.00000E-01, Tue Mar 24 20:04:56 2020
  16,  1.09016E-01, -9.96475E+01, -7.10638E-02,  9.21933E-03,  5.00000E-01, Tue Mar 24 20:05:26 2020
  17,  1.00447E-01, -9.96752E+01, -2.77124E-02,  1.06841E-02,  5.00000E-01, Tue Mar 24 20:05:57 2020
  18,  8.52828E-02, -9.97242E+01, -4.90377E-02,  5.24888E-03,  5.00000E-01, Tue Mar 24 20:06:28 2020
  19,  8.17119E-02, -9.97358E+01, -1.15477E-02,  1.04979E-02,  5.00000E-01, Tue Mar 24 20:06:58 2020
  20,  6.91682E-02, -9.97763E+01, -4.05643E-02,  3.33938E-03,  5.00000E-01, Tue Mar 24 20:07:29 2020
