 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  2.97381E+01,  0.00000E+00,  0.00000E+00,  1.03652E+01,  5.00000E-01, Tue Mar 24 19:27:15 2020
   2,  3.10689E+01,  4.47510E+00,  4.47510E+00,  1.09687E+01,  5.00000E-01, Tue Mar 24 19:27:28 2020
   3,  3.16883E+01,  6.55805E+00,  2.08295E+00,  1.12294E+01,  5.00000E-01, Tue Mar 24 19:27:41 2020
   4,  2.44623E+01, -1.77407E+01, -2.42988E+01,  7.60480E+00,  5.00000E-01, Tue Mar 24 19:27:55 2020
   5,  1.45811E+01, -5.09683E+01, -3.32276E+01,  3.32215E+00,  5.00000E-01, Tue Mar 24 19:28:08 2020
   6,  1.32774E+01, -5.53522E+01, -4.38389E+00,  2.81558E+00,  5.00000E-01, Tue Mar 24 19:28:21 2020
   7,  1.28179E+01, -5.68973E+01, -1.54507E+00,  2.62783E+00,  5.00000E-01, Tue Mar 24 19:28:34 2020
   8,  1.26419E+01, -5.74892E+01, -5.91905E-01,  2.53714E+00,  5.00000E-01, Tue Mar 24 19:28:47 2020
   9,  1.26014E+01, -5.76254E+01, -1.36192E-01,  2.48933E+00,  5.00000E-01, Tue Mar 24 19:29:00 2020
  10,  1.26355E+01, -5.75108E+01,  1.14533E-01,  2.46354E+00,  5.00000E-01, Tue Mar 24 19:29:12 2020
  11,  1.27117E+01, -5.72543E+01,  2.56536E-01,  2.44931E+00,  5.00000E-01, Tue Mar 24 19:29:25 2020
  12,  1.28097E+01, -5.69250E+01,  3.29287E-01,  2.44032E+00,  5.00000E-01, Tue Mar 24 19:29:38 2020
  13,  1.29138E+01, -5.65747E+01,  3.50304E-01,  2.43211E+00,  5.00000E-01, Tue Mar 24 19:29:50 2020
  14,  1.30111E+01, -5.62476E+01,  3.27113E-01,  2.42103E+00,  5.00000E-01, Tue Mar 24 19:30:03 2020
  15,  1.30890E+01, -5.59855E+01,  2.62051E-01,  2.40381E+00,  5.00000E-01, Tue Mar 24 19:30:16 2020
  16,  1.31349E+01, -5.58312E+01,  1.54323E-01,  2.37730E+00,  5.00000E-01, Tue Mar 24 19:30:28 2020
  17,  1.31353E+01, -5.58301E+01,  1.16515E-03,  2.33830E+00,  5.00000E-01, Tue Mar 24 19:30:41 2020
  18,  1.30754E+01, -5.60314E+01, -2.01295E-01,  2.28359E+00,  5.00000E-01, Tue Mar 24 19:30:53 2020
  19,  1.29396E+01, -5.64883E+01, -4.56902E-01,  2.21005E+00,  5.00000E-01, Tue Mar 24 19:31:06 2020
  20,  1.27103E+01, -5.72590E+01, -7.70769E-01,  2.11463E+00,  5.00000E-01, Tue Mar 24 19:31:18 2020
