 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  3.09230E+01,  0.00000E+00,  0.00000E+00,  1.08323E+01,  5.00000E-01, Tue Mar 24 19:38:20 2020
   2,  3.23938E+01,  4.75646E+00,  4.75646E+00,  1.15026E+01,  5.00000E-01, Tue Mar 24 19:39:08 2020
   3,  3.37590E+01,  9.17134E+00,  4.41488E+00,  1.21148E+01,  5.00000E-01, Tue Mar 24 19:39:54 2020
   4,  3.19562E+01,  3.34136E+00, -5.82998E+00,  1.11245E+01,  5.00000E-01, Tue Mar 24 19:40:42 2020
   5,  1.79649E+01, -4.19044E+01, -4.52457E+01,  4.25594E+00,  5.00000E-01, Tue Mar 24 19:41:26 2020
   6,  1.49532E+01, -5.16437E+01, -9.73930E+00,  3.13132E+00,  5.00000E-01, Tue Mar 24 19:42:00 2020
   7,  1.43833E+01, -5.34867E+01, -1.84299E+00,  2.90079E+00,  5.00000E-01, Tue Mar 24 19:42:35 2020
   8,  1.42249E+01, -5.39991E+01, -5.12394E-01,  2.80470E+00,  5.00000E-01, Tue Mar 24 19:43:09 2020
   9,  1.42437E+01, -5.39381E+01,  6.09276E-02,  2.76282E+00,  5.00000E-01, Tue Mar 24 19:43:44 2020
  10,  1.43563E+01, -5.35739E+01,  3.64266E-01,  2.74796E+00,  5.00000E-01, Tue Mar 24 19:44:18 2020
  11,  1.45214E+01, -5.30402E+01,  5.33714E-01,  2.74715E+00,  5.00000E-01, Tue Mar 24 19:44:53 2020
  12,  1.47134E+01, -5.24193E+01,  6.20861E-01,  2.75278E+00,  5.00000E-01, Tue Mar 24 19:45:27 2020
  13,  1.49134E+01, -5.17723E+01,  6.46968E-01,  2.75949E+00,  5.00000E-01, Tue Mar 24 19:46:01 2020
  14,  1.51051E+01, -5.11525E+01,  6.19800E-01,  2.76291E+00,  5.00000E-01, Tue Mar 24 19:46:35 2020
  15,  1.52720E+01, -5.06127E+01,  5.39799E-01,  2.75896E+00,  5.00000E-01, Tue Mar 24 19:47:09 2020
  16,  1.53969E+01, -5.02088E+01,  4.03976E-01,  2.74357E+00,  5.00000E-01, Tue Mar 24 19:47:43 2020
  17,  1.54609E+01, -5.00021E+01,  2.06713E-01,  2.71250E+00,  5.00000E-01, Tue Mar 24 19:48:18 2020
  18,  1.54427E+01, -5.00607E+01, -5.86979E-02,  2.66134E+00,  5.00000E-01, Tue Mar 24 19:48:51 2020
  19,  1.53200E+01, -5.04576E+01, -3.96870E-01,  2.58568E+00,  5.00000E-01, Tue Mar 24 19:49:25 2020
  20,  1.50705E+01, -5.12646E+01, -8.06940E-01,  2.48165E+00,  5.00000E-01, Tue Mar 24 19:50:00 2020
