 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  2.97381E+01,  0.00000E+00,  0.00000E+00,  1.05670E+01,  5.00000E-01, Tue Mar 24 19:17:33 2020
   2,  3.06358E+01,  3.01896E+00,  3.01896E+00,  1.09323E+01,  5.00000E-01, Tue Mar 24 19:17:40 2020
   3,  1.77728E+01, -4.02355E+01, -4.32545E+01,  4.79843E+00,  5.00000E-01, Tue Mar 24 19:17:47 2020
   4,  9.13621E+00, -6.92777E+01, -2.90422E+01,  1.61140E+00,  5.00000E-01, Tue Mar 24 19:17:54 2020
   5,  6.99982E+00, -7.64618E+01, -7.18403E+00,  1.03005E+00,  5.00000E-01, Tue Mar 24 19:18:01 2020
   6,  4.66817E+00, -8.43024E+01, -7.84060E+00,  5.20129E-01,  5.00000E-01, Tue Mar 24 19:18:08 2020
   7,  2.66987E+00, -9.10221E+01, -6.71969E+00,  2.03171E-01,  5.00000E-01, Tue Mar 24 19:18:15 2020
   8,  1.72579E+00, -9.41967E+01, -3.17464E+00,  9.94926E-02,  5.00000E-01, Tue Mar 24 19:18:22 2020
   9,  1.16759E+00, -9.60738E+01, -1.87707E+00,  5.93002E-02,  5.00000E-01, Tue Mar 24 19:18:29 2020
  10,  9.35280E-01, -9.68549E+01, -7.81175E-01,  4.90887E-02,  5.00000E-01, Tue Mar 24 19:18:36 2020
  11,  8.12196E-01, -9.72688E+01, -4.13897E-01,  4.54525E-02,  5.00000E-01, Tue Mar 24 19:18:43 2020
  12,  6.35071E-01, -9.78645E+01, -5.95617E-01,  3.83083E-02,  5.00000E-01, Tue Mar 24 19:18:50 2020
  13,  5.38455E-01, -9.81893E+01, -3.24889E-01,  2.86233E-02,  5.00000E-01, Tue Mar 24 19:18:57 2020
  14,  4.39807E-01, -9.85211E+01, -3.31724E-01,  2.20345E-02,  5.00000E-01, Tue Mar 24 19:19:04 2020
  15,  4.13035E-01, -9.86111E+01, -9.00250E-02,  2.59021E-02,  5.00000E-01, Tue Mar 24 19:19:11 2020
  16,  3.60664E-01, -9.87872E+01, -1.76109E-01,  2.05684E-02,  5.00000E-01, Tue Mar 24 19:19:18 2020
  17,  3.00321E-01, -9.89901E+01, -2.02913E-01,  1.04728E-02,  5.00000E-01, Tue Mar 24 19:19:25 2020
  18,  2.99502E-01, -9.89929E+01, -2.75335E-03,  2.22929E-02,  5.00000E-01, Tue Mar 24 19:19:32 2020
  19,  2.35073E-01, -9.92095E+01, -2.16655E-01,  8.14355E-03,  5.00000E-01, Tue Mar 24 19:19:39 2020
  20,  2.48028E-01, -9.91660E+01,  4.35635E-02,  2.03096E-02,  5.00000E-01, Tue Mar 24 19:19:48 2020
