 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  3.09230E+01,  0.00000E+00,  0.00000E+00,  1.10960E+01,  5.00000E-01, Mon Mar 23 17:46:19 2020
   2,  3.10286E+01,  3.41577E-01,  3.41577E-01,  1.15837E+01,  5.00000E-01, Mon Mar 23 17:47:01 2020
   3,  1.02799E+01, -6.67564E+01, -6.70980E+01,  2.07926E+00,  5.00000E-01, Mon Mar 23 17:47:36 2020
   4,  6.69602E+00, -7.83462E+01, -1.15897E+01,  1.02513E+00,  5.00000E-01, Mon Mar 23 17:48:07 2020
   5,  2.85220E+00, -9.07764E+01, -1.24303E+01,  3.11269E-01,  5.00000E-01, Mon Mar 23 17:48:37 2020
   6,  1.51113E+00, -9.51133E+01, -4.33681E+00,  1.19094E-01,  5.00000E-01, Mon Mar 23 17:49:08 2020
   7,  8.66735E-01, -9.71971E+01, -2.08386E+00,  6.97427E-02,  5.00000E-01, Mon Mar 23 17:49:39 2020
   8,  7.23807E-01, -9.76593E+01, -4.62206E-01,  8.09528E-02,  5.00000E-01, Mon Mar 23 17:50:10 2020
   9,  5.42919E-01, -9.82443E+01, -5.84963E-01,  5.00222E-02,  5.00000E-01, Mon Mar 23 17:50:40 2020
  10,  4.54337E-01, -9.85307E+01, -2.86459E-01,  2.67955E-02,  5.00000E-01, Mon Mar 23 17:51:11 2020
  11,  3.65745E-01, -9.88172E+01, -2.86494E-01,  2.72074E-02,  5.00000E-01, Mon Mar 23 17:51:42 2020
  12,  3.22160E-01, -9.89582E+01, -1.40947E-01,  2.84286E-02,  5.00000E-01, Mon Mar 23 17:52:13 2020
  13,  2.65057E-01, -9.91428E+01, -1.84661E-01,  1.29340E-02,  5.00000E-01, Mon Mar 23 17:52:44 2020
  14,  2.32751E-01, -9.92473E+01, -1.04473E-01,  1.52815E-02,  5.00000E-01, Mon Mar 23 17:53:14 2020
  15,  2.10292E-01, -9.93199E+01, -7.26266E-02,  1.18617E-02,  5.00000E-01, Mon Mar 23 17:53:45 2020
  16,  1.89130E-01, -9.93884E+01, -6.84349E-02,  8.88814E-03,  5.00000E-01, Mon Mar 23 17:54:16 2020
  17,  1.72522E-01, -9.94421E+01, -5.37082E-02,  8.69404E-03,  5.00000E-01, Mon Mar 23 17:54:47 2020
  18,  1.58008E-01, -9.94890E+01, -4.69363E-02,  6.77471E-03,  5.00000E-01, Mon Mar 23 17:55:17 2020
  19,  1.45963E-01, -9.95280E+01, -3.89500E-02,  7.73503E-03,  5.00000E-01, Mon Mar 23 17:55:48 2020
  20,  1.33895E-01, -9.95670E+01, -3.90263E-02,  5.86803E-03,  5.00000E-01, Mon Mar 23 17:56:20 2020
